aquarium_name,state
George F. Crozier Estuarium - Dauphin Island,Alabama
McWane Science Center - Birmingham,Alabama
Alaska SeaLife Center - Seward,Alaska
Sitka Sound Science Center - Sitka,Alaska
Dolphinaris Arizona - Scottsdale,Arizona
OdySea Aquarium - Scottsdale[1],Arizona
Sea Life Arizona - Tempe,Arizona
Wildlife World Zoo and Aquarium - Litchfield Park,Arizona
National Park Aquarium - Hot Springs[2],Arkansas
The Witt Stephens Jr. Central Arkansas Nature Center - Little Rock,Arkansas
Aquarium of the Bay - San Francisco,California
Aquarium of the Pacific - Long Beach,California
Birch Aquarium - La Jolla,California
Cabrillo Marine Aquarium - San Pedro,California
Central Coast Aquarium - Avila Beach,California
Monterey Bay Aquarium - Monterey,California
Ocean World - Crescent City,California
Roundhouse Aquarium - Manhattan Beach,California
Santa Barbara Museum of Natural History Sea Center - Santa Barbara,California
Santa Monica Pier Aquarium - Santa Monica,California
Sea Life California - Carlsbad,California
SeaQuest Folsom - Folsom,California
SeaWorld San Diego - San Diego,California
Seymour Marine Discovery Center - Santa Cruz,California
Steinhart Aquarium (California Academy of Sciences) - San Francisco,California
Colorado,California
Downtown Aquarium - Denver,California
SeaQuest Littleton - Littleton,California
Connecticut,California
Maritime Aquarium at Norwalk - Norwalk,California
Mystic Aquarium - Mystic,California
SeaQuest Trumbull - Trumbull,California
"Sant Ocean Hall - Washington, D.C.",District of Columbia
Clearwater Marine Aquarium - Clearwater[3],Florida
Dolphin Research Center - Grassy Key,Florida
Florida Aquarium - Tampa,Florida
Florida Keys Aquarium Encounters - Marathon,Florida
"Gulf Specimen Marine Laboratory, Inc - Panacea[4]",Florida
Gulfarium Marine Adventure Park - Fort Walton Beach[5],Florida
Gulf World - Panama City Beach,Florida
Key West Aquarium - Key West,Florida
Marineland of Florida - Marineland,Florida
Miami Seaquarium - Miami,Florida
Mote Marine Laboratory - Sarasota,Florida
Orlando Sea Life Aquarium - Orlando[6],Florida
Phillip and Patricia Frost Museum of Science - Miami[7],Florida
Pier Aquarium - St. Petersburg[8]',Florida
SeaQuest Fort Lauderdale - Fort Lauderdale,Florida
SeaWorld Orlando - Orlando,Florida
South Florida Science Center and Aquarium - West Palm Beach,Florida
The Seas with Nemo & Friends - Bay Lake,Florida
The Turtle Hospital - Marathon,Florida
Tarpon Springs Aquarium - Tarpon Springs[9],Florida
Bo Ginn Aquarium - Millen[10],Georgia
Flint RiverQuarium - Albany,Georgia
Georgia Aquarium - Atlanta,Georgia
Living Art Marine Center - Honolulu,Hawaii
Maui Ocean Center - Maui,Hawaii
Sea Life Park Hawaii - Honolulu,Hawaii
Waikiki Aquarium - Honolulu,Hawaii
Idaho Aquarium - Boise,Idaho
East Idaho Aquarium - Idaho Falls,Idaho
Peoria Riverfront Museum - Peoria,Illinois
Shedd Aquarium - Chicago,Illinois
"Oceans Building, Indianapolis Zoo - Indianapolis",Indiana
Guttenberg Fish Hatchery - Jefferson,Iowa
National Mississippi River Museum & Aquarium - Dubuque,Iowa
Newport Aquarium - Newport,Kentucky
Aquarium of the Americas - New Orleans,Louisiana
Natchitoches National Fish Hatchery and Aquarium - Natchitoches,Louisiana
Shreveport Aquarium - Shreveport,Louisiana
Gulf of Maine Research Institute - Portland,Maine
Maine Aquarium - Saco (closed; plans for re-opening dependent on fundraising),Maine
Mount Desert Oceanarium - Bar Harbor,Maine
Maine State Aquarium[11] - Boothbay Harbor,Maine
Calvert Marine Museum - Solomons,Maryland
Glen Echo Park Aquarium - Glen Echo,Maryland
National Aquarium - Baltimore,Maryland
Ocean City Life-Saving Station Museum - Ocean City,Maryland
Massachusetts,Maryland
Berkshire Museum - Pittsfield,Maryland
Cape Cod Museum of Natural History - Brewster,Maryland
Maria Mitchell Aquarium - Nantucket,Maryland
New England Aquarium - Boston,Maryland
Woods Hole Science Aquarium - Woods Hole[12],Maryland
Belle Isle Aquarium - Detroit,Michigan
John Ball Zoological Garden - Grand Rapids,Michigan
Michigan Sea Life Aquarium - Auburn Hills[13],Michigan
Great Lakes Aquarium - Duluth,Minnesota
Sea Life Minnesota Aquarium - Bloomington,Minnesota
Discovery Bay[14] at Minnesota Zoo - Apple Valley,Minnesota
SeaQuest Interactive Aquarium Minnesota - Roseville[15],Minnesota
Institute for Marine Mammal Studies - Gulfport,Mississippi
Mississippi Aquarium - Gulfport[16] (Opening in 2019-2020),Mississippi
Mississippi Museum of Natural Science - Jackson,Mississippi
Ocean Adventures Marine Park - Gulfport,Mississippi
Aquarium At The Boardwalk - Branson[17] (Opening in 2020-2021),Missouri
Sea Life Kansas City - Kansas City[18],Missouri
St Louis Aquarium at Union Station - St Louis[19],Missouri
World Aquarium - St. Louis[20],Missouri
Wonders of Wildlife Museum & Aquarium - Springfield[21],Missouri
"Schramm Education Center - Schramm Park State Recreation Area, Omaha",Nebraska
Henry Doorly Zoo and Aquarium - Omaha,Nebraska
SeaQuest Las Vegas - Las Vegas,Nevada
Siegfried & Roy's Secret Garden and Dolphin Habitat - Las Vegas,Nevada
Shark Reef at Mandalay Bay - Las Vegas,Nevada
The Aquarium at the Silverton Hotel - Las Vegas,Nevada
Explore the Ocean World Oceanarium - Hampton,New Hampshire
Seacoast Science Center - Rye,New Hampshire
Adventure Aquarium - Camden,New Jersey
Atlantic City Aquarium - Atlantic City,New Jersey
Jenkinson's Aquarium - Point Pleasant Beach[22],New Jersey
Marine Mammal Stranding Center - Brigantine,New Jersey
Seaport Aquarium - Wildwood,New Jersey
SeaQuest Woodbridge - Woodbridge,New Jersey
Albuquerque Aquarium - Albuquerque,New Mexico
Aquarium of Niagara - Niagara Falls,
Cold Spring Harbor Fish Hatchery & Aquarium - Cold Spring Harbor,New York
Long Island Aquarium and Exhibition Center - Riverhead,New York
New York Aquarium - Brooklyn,New York
VIA Aquarium[23] - Schenectady,New York
North Carolina,New York
Aquarium & Shark Lab by Team ECCO - Hendersonville,New York
Discovery Place - Charlotte,New York
North Carolina Aquarium at Fort Fisher - Kure Beach,New York
North Carolina Aquarium at Pine Knoll Shores - Pine Knoll Shores,New York
North Carolina Aquarium on Roanoke Island - Roanoke Island,New York
SciQuarium - Greensboro,New York
SEA LIFE Charlotte-Concord Aquarium - Concord,New York
Columbus Zoo and Aquarium - Columbus,Ohio
Greater Cleveland Aquarium - Cleveland,Ohio
Toledo Zoo and Aquarium - Toledo,Ohio
Oklahoma Aquarium - Jenks,Oklahoma
Medicine Park Aquarium - Medicine Park,Oklahoma
Charleston Marine Life Center - Coos Bay,Oregon
Hatfield Marine Science Center - Newport,Oregon
Oregon Coast Aquarium - Newport,Oregon
Oregon Undersea Gardens - Newport,Oregon
Seaside Aquarium - Seaside,Oregon
Electric City Aquarium & Reptile Den - Scranton,Pennsylvania
Pittsburgh Zoo & PPG Aquarium - Pittsburgh,Pennsylvania
Jungle Creek Aquarium - State College,Pennsylvania
Biomes Marine Biology Center - North Kingstown,Rhode Island
Save the Bay The Exploration Center and Aquarium - Newport[24],Rhode Island
Ripley's Aquarium of Myrtle Beach - Myrtle Beach[25],South Carolina
South Carolina Aquarium - Charleston,South Carolina
Butterfly House & Aquarium - Sioux Falls[26],South Dakota
Gavins Point National Fish Hatchery - Yankton,South Dakota
The Outdoor Campus - Rapid City[27],South Dakota
Aquarium inside Memphis Zoo - Memphis,Tennessee
Aquarium Restaurant - Nashville,Tennessee
Ripley's Aquarium of the Smokies - Gatlinburg[28],Tennessee
Tennessee Aquarium - Chattanooga,Tennessee
Tennessee Aquarium Conservation Institute - Chattanooga,Tennessee
Austin Aquarium - Austin,Texas
Aquarium Restaurant - Kemah,Texas
Children's Aquarium at Fair Park - Dallas[29],Texas
Dallas World Aquarium - Dallas,Texas
Downtown Aquarium - Houston,Texas
Kipp Aquarium - Houston[30],Texas
Moody Gardens Aquarium - Galveston,Texas
Richard Friedrich Aquarium - San Antonio,Texas
San Antonio Aquarium - Leon Valley,Texas
Sea Center Texas - Lake Jackson[31],Texas
Sea Life San Antonio Aquarium - San Antonio[32] (opening spring 2020),Texas
SeaQuest Interactive Aquarium Fort Worth - Fort Worth[33],Texas
SeaWorld San Antonio - San Antonio,Texas
Seven Seas Marine Life Park - Arlington,Texas
Texas Freshwater Fisheries Center - Athens[34],Texas
Texas State Aquarium - Corpus Christi,Texas
Loveland Living Planet Aquarium - Draper,Utah
Reef Legends - Salt Lake City,Utah
SeaQuest Utah - Layton,Utah
"ECHO, Leahy Center for Lake Champlain - Burlington",Vermont
Montshire Museum of Science - Norwich,Vermont
Virginia Aquarium & Marine Science Center - Virginia Beach,Virginia
MaST Center Aquarium - Des Moines,Washington
Marine Life Center - Bellingham,Washington
Point Defiance Zoo & Aquarium - Tacoma,Washington
Port Townsend Marine Science Center - Port Townsend,Washington
Puget Sound Estuarium - Olympia,Washington
SEA Discovery Center - Poulsbo,Washington
Seattle Aquarium - Seattle,Washington
Westport Aquarium - Westport,Washington
Beaver Springs Fishing Park - Wisconsin Dells,Wisconsin
Discovery World - Milwaukee,Wisconsin
